months,latent_operator_norm,full_encoded_operator_norm,spectral_radius_power
1,0.8853658640973908,0.8863274358813258,0.8244007164496567
2,0.7385965289067524,0.7389096723665118,0.6796365412827073
3,0.616074133472224,0.6163169671976985,0.5602928515588306
4,0.5128117057461195,0.5130182104409545,0.46190582824672116
5,0.42648724091077356,0.42666106082034133,0.380795495738869
6,0.3544560658920522,0.3546030231760923,0.3139280795079258
7,0.29438776542757367,0.2945120963691687,0.25880253365999883
8,0.24432687031781358,0.24443200362162584,0.21335699416828943
9,0.20263711094893358,0.20272590834443938,0.17589165885188304
10,0.16794705899024218,0.1680219406804921,0.145005209575011
11,0.13910604951654698,0.1391690799134751,0.11954239866257169
12,0.11514852591751243,0.11520147495823556,0.09855083910353458
