group,label,representation,month,year,part,region,rms_wind_m_s,rms_geostrophic_m_s,rms_residual_m_s,residual_over_wind_rms,mean_speed_m_s,max_speed_m_s,strong_direction_abs_mean_deg,direction_area_fraction,valid_area_fraction
training_climatology,1979-2014,native,1,,climatology,review,22.786057437789367,24.214047841490256,1.7238298339191316,0.07565283457331494,20.056060687508463,37.71058126644694,1.694818908993416,0.5439678646601609,1.0
training_climatology,1979-2014,native,1,,climatology,focus,30.576198333676523,32.28910132124462,1.952355351076804,0.06385212869732357,29.95983715727749,37.71058126644694,1.3479326109021696,0.9345864492019454,1.0
training_climatology,1979-2014,L12_native,1,,climatology,review,22.678706914926856,24.055665790377503,1.9830873558136675,0.08744269958832718,19.92966940021541,38.09074514087267,1.7808599120137798,0.5320562783992538,1.0
training_climatology,1979-2014,L12_native,1,,climatology,focus,30.429311056544943,31.62813509087727,1.6800692965391661,0.055212202912422015,29.798843195768445,38.09074514087267,1.3487786125000016,0.945186802495043,1.0
training_climatology,1979-2014,L12_fine,1,,climatology,review,22.697684413356143,24.200295743706473,2.0326062273329835,0.08955125951689256,19.964936550268654,38.09074514087267,1.7661067612648982,0.5300573823850415,1.0
training_climatology,1979-2014,L12_fine,1,,climatology,focus,30.5004428191247,31.90598831206731,1.8076188733994953,0.05926533211727876,29.898188512093373,38.09074514087267,1.3252295735688653,0.9173447167236141,1.0
training_climatology,1979-2014,matched_hybrid_fine,1,,climatology,review,22.7312972707376,24.200295743706473,2.169449797303906,0.09543889077094941,20.043125737481535,37.71058126644694,1.866432048715158,0.5340282685663454,1.0
training_climatology,1979-2014,matched_hybrid_fine,1,,climatology,focus,30.53599083757599,31.90598831206731,1.8532368243548705,0.060690246935572636,29.956257871271372,37.71058126644694,1.531116837587034,0.9129276400575144,1.0
historical_reference,2015-01,native,1,2015,total,review,22.06559117373537,23.639561713711455,1.9417345851902437,0.08799830332674188,18.99127819980587,37.97242281869301,1.565011073329171,0.5150792667285554,1.0
historical_reference,2015-01,native,1,2015,total,focus,28.5685351628358,30.52561414847834,2.2206240322939816,0.07772971276394823,27.42627511712377,37.97242281869301,1.0516234783871061,0.7843892153694332,1.0
historical_reference,2015-01,native,1,2015,climatology,review,22.786057437789367,24.214047841490256,1.7238298339191316,0.07565283457331494,20.056060687508463,37.71058126644694,1.694818908993416,0.5439678646601609,1.0
historical_reference,2015-01,native,1,2015,climatology,focus,30.576198333676523,32.28910132124462,1.952355351076804,0.06385212869732357,29.95983715727749,37.71058126644694,1.3479326109021696,0.9345864492019454,1.0
historical_reference,2015-01,native,1,2015,anomaly,review,5.0057991267247415,5.236079818115012,0.8884407852235792,0.17748230856496225,4.3359600610104465,11.237375529519854,7.4100714226946165,0.4287983382205132,1.0
historical_reference,2015-01,native,1,2015,anomaly,focus,4.977532774078866,5.03492993945281,0.8646564362514801,0.17371185193481564,4.4791649849820185,9.536244468729986,6.707188707831962,0.5702118652390971,1.0
historical_reference,2015-01,L12_native,1,2015,total,review,21.78823457820542,23.138409610861693,2.232937545861166,0.10248363803163539,18.941120179707198,36.04820824909558,1.7689708349810926,0.5046423949053976,1.0
historical_reference,2015-01,L12_native,1,2015,total,focus,28.350488934819154,29.522576738290287,1.946119868451019,0.06864501959473643,27.33441789293432,36.04820824909558,1.4300710396346246,0.799074492907659,1.0
historical_reference,2015-01,L12_native,1,2015,climatology,review,22.678706914926856,24.055665790377503,1.9830873558136675,0.08744269958832718,19.92966940021541,38.09074514087267,1.7808599120137798,0.5320562783992538,1.0
historical_reference,2015-01,L12_native,1,2015,climatology,focus,30.429311056544943,31.62813509087727,1.6800692965391661,0.055212202912422015,29.798843195768445,38.09074514087267,1.3487786125000016,0.945186802495043,1.0
historical_reference,2015-01,L12_native,1,2015,anomaly,review,4.525792262188866,4.5614577968978915,1.0354232147374562,0.22878275332873574,3.979742321239113,9.988085452817312,9.939099687617379,0.3871658899143164,1.0
