calendar_month,lead_months,region,samples,years,status,wind_vector_rmse_m_s,native_seasonal_vector_rmse_m_s,wind_mse_skill_vs_native_climatology,height_rmse_m,native_seasonal_height_rmse_m
1,1,review,6,"[2020, 2025]",exposed_development_not_independent,5.467235427267774,5.583389866846219,0.041174350649658464,52.50980722516706,55.10773869667973
1,1,focus,6,"[2020, 2025]",exposed_development_not_independent,5.423832010524477,5.633257093852908,0.07297101073297485,52.886695237421996,55.58147722557933
1,3,review,6,"[2020, 2025]",exposed_development_not_independent,5.628242079299187,5.583389866846219,-0.01613083299529028,52.969580003888474,55.10773869667973
1,3,focus,6,"[2020, 2025]",exposed_development_not_independent,5.614396570049792,5.633257093852908,0.006684925022246269,53.52899771635091,55.58147722557933
1,6,review,6,"[2020, 2025]",exposed_development_not_independent,5.43590461666658,5.583389866846219,0.05213225016280931,50.51720174547832,55.10773869667973
1,6,focus,6,"[2020, 2025]",exposed_development_not_independent,5.500867030582005,5.633257093852908,0.04645070434843113,49.861493402702074,55.58147722557933
12,1,review,6,"[2020, 2025]",exposed_development_not_independent,7.2068276825945725,7.41249416968591,0.05472200834588781,72.02082028451524,77.67523235303216
12,1,focus,6,"[2020, 2025]",exposed_development_not_independent,7.2276512104456145,7.5129599407493854,0.0745089433698054,56.095196046968816,59.8643809107612
12,3,review,6,"[2020, 2025]",exposed_development_not_independent,7.49267664141281,7.41249416968591,-0.021751422669147535,74.77461775579548,77.67523235303216
12,3,focus,6,"[2020, 2025]",exposed_development_not_independent,7.459826913648357,7.5129599407493854,0.014094350102954012,58.41040518979494,59.8643809107612
12,6,review,6,"[2020, 2025]",exposed_development_not_independent,7.264250886406138,7.41249416968591,0.0395982548075029,73.678306304569,77.67523235303216
12,6,focus,6,"[2020, 2025]",exposed_development_not_independent,7.15189020019853,7.5129599407493854,0.0938094472213804,55.69352074873932,59.8643809107612
